word,x,y
Effects,-4.446705818,44.11142731
Global,-0.573927462,44.01734543
Warming,-0.58120209,43.98781586
What,-6.647951126,39.90698624
Impact,-52.85876465,23.76017952
NRDC,-49.55748367,-2.366921663
Jump,-49.44595718,-1.081075668
navigation,-49.33718109,-1.053239226
Menu,-49.23316193,-1.04050231
Main,-48.76349258,-0.844550729
menu,-47.84875488,-2.218963146
Our,-52.85501099,4.264442444
WorkAreas,-48.13939285,-0.48228085
WorkClimate,-48.00413513,-0.387144923
Change,11.21576786,38.39086914
Communities,-47.71100998,-0.166236401
Energy,-5.126606464,58.0118103
Food,-47.24603653,0.709144354
Health,-53.35364151,-0.732482731
Oceans,-45.88021469,0.068144746
Water,-46.19869614,1.552318096
The,-6.405541897,26.20140839
Wild,-45.54982376,1.231688976
How,-18.1873951,-60.35583115
We,-42.64022446,0.902848184
WorkAdvocacy,-44.9545784,1.653068781
Business,-44.73729706,1.787659764
Litigation,-44.58472824,1.915297389
Partnerships,-44.44559479,2.004645824
Science,10.08103561,33.30231094
Where,-43.75514603,2.596418381
WorkInternational,-44.03527451,2.464246035
United,-28.54540253,46.93162537
States,-28.61637497,47.03416824
About,-55.76615906,5.707820892
BlocksAbout,-4.710919857,17.65001488
Natural,41.83294296,-28.06202698
Resources,-5.091601849,17.7574482
Defense,-4.539170265,17.81498146
Council,-4.252495289,18.49542046
works,-3.863065958,17.57737923
safeguard,-4.208901405,17.61105537
earth,22.14653397,-45.1758461
people,0.249204323,-21.16086006
plants,0.794748724,-19.74224281
animals,2.495505333,-20.2941494
natural,23.71001625,-24.28652
systems,33.39462662,-50.55903244
life,-2.476117134,-34.12997055
depends,7.845637321,-10.56079674
Support,-51.4077034,6.287314415
Follow,-53.72406387,9.8641119
Us,-51.87602234,7.615244389
Twitter,-54.25056458,10.02175999
Facebook,-54.50972366,9.930350304
YouTube,-54.83567047,10.07573223
instagram,-55.36515808,9.681314468
RSS,-56.05047607,9.494537354
Feed,-55.58982468,9.512336731
View,-44.89997864,18.16934204
work,-7.881306171,14.17478275
Experts,-53.17247391,5.200759888
Stories,-54.20664978,3.523401499
Get,-54.37779617,5.029389858
Involved,-53.74533463,5.439799309
UsMission,-53.72590256,5.795778751
Leadership,-53.72314072,5.920050144
Programs,-54.22624207,6.325090408
Financials,-53.55281067,6.153308392
Sustainability,-53.31641769,6.605723381
Media,-54.14958572,7.486750126
Center,-52.85211945,11.9692173
Careers,-52.77013779,7.271096706
Contact,-52.48881531,7.485648155
Donate,-49.77152634,6.989142895
Monthly,-51.74590302,2.94511342
One,18.99515724,29.19360352
time,7.058617592,-50.24998474
Search,-52.1700325,1.606092215
facebook,-52.16278458,0.965220153
twitter,-52.20931625,0.833115637
Scroll,-51.71847916,0.911517382
top,-51.03525162,0.419260055
Guide,-52.02214432,-2.667237282
Are,-4.534018517,42.05179596
Really,-3.457937717,42.09605026
Bad,-3.395138264,42.07435226
Espa,-52.20481491,9.47305584
ol,-52.18495178,9.491556168
Short,-42.04386902,-15.16451454
answer,11.5402441,12.17740154
Yes,8.824967384,21.0074501
Even,36.01063538,-39.93355179
seemingly,-8.219371796,-3.894933224
slight,20.32296944,-22.86310005
average,20.83099365,-32.87348938
temperature,30.03906059,-9.770997047
rise,20.14857483,-20.67380333
enough,21.52692986,-21.08180809
cause,19.76134491,-22.32162285
dramatic,20.03583717,-23.60164261
transformation,20.33058929,-22.87506294
planet,31.39274025,-34.16478729
March,-31.19840622,10.25462532
River,15.15587616,-39.92668533
homes,21.08314705,-39.43948364
City,-6.250363827,38.76900101
Iowa,17.06022644,45.68257523
flood,15.72344208,45.55058289
Images,1.382911921,27.69717598
degrees,41.40350342,-37.32952881
Fahrenheit,41.01047134,-37.15958405
It,37.58261108,-27.45734024
may,15.66421032,-17.22331619
sound,15.69605541,15.399436
like,-25.29620743,-25.30585861
much,14.23828888,-17.10808182
perhaps,5.877394676,8.473672867
difference,24.23509789,-30.81888962
early,-4.88643074,-37.04361725
spring,12.11754417,-33.96879578
day,15.67087173,-23.06998634
But,21.75741386,-7.991417885
world,-15.09419632,1.241252303
live,-27.51419449,-27.09993172
