word,x,y,x_mod,y_mod
Effects,-4.446705818,44.11142731,-44.46705818,441.1142731
Global,-0.573927462,44.01734543,-5.73927462,440.1734543
Warming,-0.58120209,43.98781586,-5.8120209,439.8781586
What,-6.647951126,39.90698624,-66.47951126,399.0698624
Impact,-52.85876465,23.76017952,-528.5876465,237.6017952
NRDC,-49.55748367,-2.366921663,-495.5748367,-23.66921663
Jump,-49.44595718,-1.081075668,-494.4595718,-10.81075668
navigation,-49.33718109,-1.053239226,-493.3718109,-10.53239226
Menu,-49.23316193,-1.04050231,-492.3316193,-10.4050231
Main,-48.76349258,-0.844550729,-487.6349258,-8.44550729
menu,-47.84875488,-2.218963146,-478.4875488,-22.18963146
Our,-52.85501099,4.264442444,-528.5501099,42.64442444
WorkAreas,-48.13939285,-0.48228085,-481.3939285,-4.8228085
WorkClimate,-48.00413513,-0.387144923,-480.0413513,-3.87144923
Change,11.21576786,38.39086914,112.1576786,383.9086914
Communities,-47.71100998,-0.166236401,-477.1100998,-1.66236401
Energy,-5.126606464,58.0118103,-51.26606464,580.118103
Food,-47.24603653,0.709144354,-472.4603653,7.09144354
Health,-53.35364151,-0.732482731,-533.5364151,-7.32482731
Oceans,-45.88021469,0.068144746,-458.8021469,0.68144746
Water,-46.19869614,1.552318096,-461.9869614,15.52318096
The,-6.405541897,26.20140839,-64.05541897,262.0140839
Wild,-45.54982376,1.231688976,-455.4982376,12.31688976
How,-18.1873951,-60.35583115,-181.873951,-603.5583115
We,-42.64022446,0.902848184,-426.4022446,9.02848184
WorkAdvocacy,-44.9545784,1.653068781,-449.545784,16.53068781
Business,-44.73729706,1.787659764,-447.3729706,17.87659764
Litigation,-44.58472824,1.915297389,-445.8472824,19.15297389
Partnerships,-44.44559479,2.004645824,-444.4559479,20.04645824
Science,10.08103561,33.30231094,100.8103561,333.0231094
Where,-43.75514603,2.596418381,-437.5514603,25.96418381
WorkInternational,-44.03527451,2.464246035,-440.3527451,24.64246035
United,-28.54540253,46.93162537,-285.4540253,469.3162537
States,-28.61637497,47.03416824,-286.1637497,470.3416824
About,-55.76615906,5.707820892,-557.6615906,57.07820892
